date,vehicle_class,percent_of_normal_volume,version
2020-04-10,MPV,59.08,1.0
2020-04-10,HDT,78.07,1.0
2020-05-24,MDT,113.26,1.0
2020-05-24,MPV,100.14,1.0
2020-05-24,Passenger,54.55,1.0
2020-05-24,Bus,39.07,1.0
2020-05-24,LDT,162.26,1.0
2020-05-24,HDT,88.9,1.0
2020-08-22,LDT,169.95,1.0
2020-08-22,Bus,62.99,1.0
2020-08-22,MPV,118.63,1.0
2020-08-22,MDT,128.95000000000002,1.0
2020-08-22,HDT,112.13,1.0
2020-08-22,Passenger,79.59,1.0
2020-08-19,Passenger,88.38000000000001,1.0
2020-08-19,Bus,31.419999999999998,1.0
2020-08-19,HDT,113.19,1.0
2020-08-19,MPV,111.78999999999999,1.0
2020-08-19,MDT,129.41,1.0
2020-08-19,LDT,161.3,1.0
2020-07-03,MPV,74.49,1.0
2020-07-03,Bus,13.79,1.0
2020-07-03,HDT,80.49,1.0
2020-07-03,MDT,74.91,1.0
2020-07-03,Passenger,68.83,1.0
2020-07-03,LDT,95.37,1.0
2020-04-15,LDT,98.3,1.0
2020-04-15,MDT,90.93,1.0
2020-04-15,Bus,13.459999999999999,1.0
2020-04-15,Passenger,58.39,1.0
2020-04-15,HDT,94.36,1.0
2020-04-15,MPV,72.31,1.0
2020-09-16,Passenger,88.34,1.0
2020-07-09,MDT,124.88,1.0
2020-07-09,HDT,108.67,1.0
2020-07-09,MPV,109.60000000000001,1.0
2020-07-09,Bus,24.6,1.0
2020-07-09,Passenger,89.19,1.0
2020-07-09,LDT,159.14,1.0
2020-04-26,MDT,90.61,1.0
2020-04-26,LDT,131.68,1.0
2020-04-26,MPV,78.56,1.0
2020-04-26,Passenger,47.19,1.0
2020-04-26,HDT,94.34,1.0
2020-04-26,Bus,36.18,1.0
2020-07-02,Passenger,87.72,1.0
2020-07-02,MPV,103.23,1.0
2020-07-02,MDT,124.76,1.0
2020-07-02,LDT,151.39000000000001,1.0
2020-07-02,HDT,104.58000000000001,1.0
2020-07-02,Bus,22.59,1.0
2020-03-30,Bus,14.19,1.0
2020-03-30,Passenger,59.699999999999996,1.0
2020-03-30,LDT,93.74,1.0
2020-03-30,MPV,70.81,1.0
2020-03-30,MDT,96.83,1.0
2020-03-30,HDT,100.33000000000001,1.0
2020-03-23,Passenger,66.100000000000009,1.0
2020-03-23,MPV,74.32,1.0
2020-03-23,LDT,93.76,1.0
2020-03-23,Bus,17.18,1.0
2020-03-23,HDT,101.35000000000001,1.0
2020-03-23,MDT,98.13,1.0
2020-04-28,Passenger,67.710000000000008,1.0
2020-04-28,Bus,14.510000000000002,1.0
2020-04-28,MDT,103.01,1.0
2020-04-28,LDT,122.61,1.0
2020-04-28,HDT,100.47,1.0
2020-04-28,MPV,82.87,1.0
2020-06-17,LDT,158.98000000000002,1.0
2020-06-17,Passenger,88.6,1.0
2020-06-17,MDT,126.75,1.0
2020-06-17,MPV,106.49,1.0
2020-06-17,HDT,110.09,1.0
2020-06-17,Bus,21.19,1.0
2020-08-05,Passenger,88.3,1.0
2020-08-05,Bus,26.119999999999997,1.0
2020-08-05,MPV,110.11999999999999,1.0
2020-08-05,HDT,112.78999999999999,1.0
2020-08-05,MDT,128.38,1.0
2020-08-05,LDT,159.53,1.0
2020-05-27,Bus,19.74,1.0
2020-05-27,LDT,155.53,1.0
2020-05-27,HDT,107.19000000000001,1.0
2020-05-27,Passenger,79.28,1.0
2020-05-27,MDT,122.56,1.0
2020-05-27,MPV,101.27999999999999,1.0
2020-04-18,Passenger,54.47,1.0
2020-04-18,HDT,90.59,1.0
2020-04-18,MPV,79.84,1.0
2020-04-18,Bus,33.650000000000006,1.0
2020-04-18,LDT,106.45,1.0
2020-04-18,MDT,87.03,1.0
2020-07-21,Bus,23.669999999999998,1.0
2020-07-21,MDT,124.61,1.0
2020-07-21,LDT,157.37,1.0
2020-07-21,HDT,108.17000000000002,1.0
2020-07-21,MPV,110.52,1.0
2020-07-21,Passenger,89.78,1.0
2020-08-26,Passenger,90.18,1.0
2020-08-26,HDT,116.68,1.0
2020-08-26,MPV,112.92999999999999,1.0
2020-08-26,MDT,132.29,1.0
